feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
horno | TI-1514,108,540min (9.00h),-0.4917765704459917,0.4917765704459917,-0.3030174495507641,0.3030174495507641,94169
isostripper | FIC-2100,66,330min (5.50h),-0.49014102582198865,0.49014102582198865,-0.32408742021826414,0.32408742021826414,119069
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),-0.4859277351690894,0.4859277351690894,-0.7779424691269763,0.7779424691269763,116194
tratadores_e_intercambiadores_de_propano | PIC-2417,108,540min (9.00h),-0.48544354004028256,0.48544354004028256,-0.10083911901518534,0.10083911901518534,119096
psh | TI-4135,57,285min (4.75h),-0.48166184100947856,0.48166184100947856,-0.19602520478692056,0.19602520478692056,116235
psh | TI-4043C,69,345min (5.75h),-0.4755625953488445,0.4755625953488445,-0.10052099399707635,0.10052099399707635,115323
isostripper | PIC-1921,120,600min (10.00h),-0.47459177575504946,0.47459177575504946,-0.16547518048381857,0.16547518048381857,119087
reactor_de_alquilacion | PI-1921,120,600min (10.00h),-0.47459177575504946,0.47459177575504946,-0.16547518048381857,0.16547518048381857,119087
psh | TI-4043A,69,345min (5.75h),-0.4729774355982886,0.4729774355982886,-0.10428719365609698,0.10428719365609698,115317
psh | PIC-4080,576,2880min (48.00h),-0.4727994863496211,0.4727994863496211,-0.16901867057292627,0.16901867057292627,117421
horno | FI-1238-ALQUILATO,66,330min (5.50h),-0.4690701486261471,0.4690701486261471,-0.36538654742657617,0.36538654742657617,118006
psh | TI-4043B,66,330min (5.50h),-0.46782520777350495,0.46782520777350495,-0.08409050917544893,0.08409050917544893,116210
reactor_de_alquilacion | FIC-1059C,63,315min (5.25h),-0.46680392865482295,0.46680392865482295,-0.3222228376152746,0.3222228376152746,117987
isostripper | FI-2315,132,660min (11.00h),-0.46680385702661675,0.46680385702661675,-0.2908913282064942,0.2908913282064942,115024
lab_carga_D03_a_E28 | FIC-1903C_OLEFINAS_2,60,300min (5.00h),-0.4664437169367266,0.4664437169367266,-0.4468195035742796,0.4468195035742796,54957
psh | TI-4063,84,420min (7.00h),-0.4656414099513744,0.4656414099513744,0.004338545366083781,0.004338545366083781,115644
lab_isobutano_reciclo | FIC-1903C-Olefinas 2,57,285min (4.75h),-0.4610212605765358,0.4610212605765358,-0.4498293301219469,0.4498293301219469,55476
psh | TIC-4017,84,420min (7.00h),-0.4608572424992475,0.4608572424992475,-0.013015833572820643,0.013015833572820643,117407
debutanizadora_y_tratamiento_de_alquilato | TI-2102,27,135min (2.25h),-0.45976067345113936,0.45976067345113936,-0.6989512465758324,0.6989512465758324,116077
psh | TI-4115,132,660min (11.00h),-0.45798171030486484,0.45798171030486484,-0.1500913557026582,0.1500913557026582,115600
despropanizadora_y_despojo | LIC-1152,144,720min (12.00h),-0.4567858130354087,0.4567858130354087,-0.2030118046588602,0.2030118046588602,116709
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,66,330min (5.50h),-0.45588341511351904,0.45588341511351904,-0.3486756331433046,0.3486756331433046,117301
reactor_de_alquilacion | PI-1053,120,600min (10.00h),-0.4550378828972499,0.4550378828972499,-0.01978440048817677,0.01978440048817677,119115
reactor_de_alquilacion | PI-1053.1,120,600min (10.00h),-0.4550378828972499,0.4550378828972499,-0.01978440048817677,0.01978440048817677,119115
tratadores_e_intercambiadores_de_propano | TI-2403,63,315min (5.25h),-0.45482415643403323,0.45482415643403323,-0.2626510239690595,0.2626510239690595,119083
psh | PI-4041B,96,480min (8.00h),-0.454727716769514,0.454727716769514,-0.04229679067338191,0.04229679067338191,117439
isostripper | TI-1565,27,135min (2.25h),-0.45406822630553073,0.45406822630553073,-0.3942199180227029,0.3942199180227029,118011
isostripper | TI-1571,24,120min (2.00h),-0.45337576831969717,0.45337576831969717,-0.4473806925128697,0.4473806925128697,117999
psh | TI-4070,120,600min (10.00h),-0.45230120475546765,0.45230120475546765,-0.12407774714818198,0.12407774714818198,115619
tratadores_e_intercambiadores_de_propano | TI-2401,108,540min (9.00h),-0.4469385024018884,0.4469385024018884,-0.31759701088701736,0.31759701088701736,118992
psh | PI-4041A,96,480min (8.00h),-0.4417239444043831,0.4417239444043831,-0.030895034401432066,0.030895034401432066,117403
tratadores_e_intercambiadores_de_propano | TI-2405,60,300min (5.00h),-0.4415752162146885,0.4415752162146885,-0.1813188054597565,0.1813188054597565,119079
tratadores_e_intercambiadores_de_propano | TI-2404,84,420min (7.00h),-0.441505825588774,0.441505825588774,-0.2369474157241618,0.2369474157241618,118141
tratadores_e_intercambiadores_de_propano | TI-2406,66,330min (5.50h),-0.44128852595450857,0.44128852595450857,-0.20376889524020977,0.20376889524020977,119051
despropanizadora_y_despojo | PIC-1150,108,540min (9.00h),-0.4411155744145664,0.4411155744145664,-0.10937431049560603,0.10937431049560603,119052
debutanizadora_y_tratamiento_de_alquilato | PI-2110A,69,345min (5.75h),-0.43750338027912694,0.43750338027912694,-0.04552157659001624,0.04552157659001624,113967
psh | PIC-4051B,108,540min (9.00h),-0.4342221330664381,0.4342221330664381,-0.1331286724974277,0.1331286724974277,117444
horno | TI-1508,120,600min (10.00h),-0.4334478830863636,0.4334478830863636,-0.2540180136513805,0.2540180136513805,116992
debutanizadora_y_tratamiento_de_alquilato | TI-2101,132,660min (11.00h),-0.4334444312922815,0.4334444312922815,-0.28768441934664646,0.28768441934664646,116115
horno | PI-1658,504,2520min (42.00h),-0.4328727432249493,0.4328727432249493,0.07538840416441528,0.07538840416441528,95663
isostripper | LIC-1094,288,1440min (24.00h),-0.42844475068280286,0.42844475068280286,0.06630743046043877,0.06630743046043877,112627
despropanizadora_y_despojo | PI-1166,120,600min (10.00h),-0.4215056293592419,0.4215056293592419,0.015005417566656132,0.015005417566656132,118620
horno | FIC-1499A,120,600min (10.00h),-0.41917845630729195,0.41917845630729195,-0.15201936499341917,0.15201936499341917,118059
psh | TI-4162,144,720min (12.00h),-0.4191242211625712,0.4191242211625712,-0.006633271575599097,0.006633271575599097,115276
tratadores_e_intercambiadores_de_butano | PIC-1218,12,60min (1.00h),-0.41822943721758554,0.41822943721758554,-0.36086617261206483,0.36086617261206483,12119
horno | TI-1497,120,600min (10.00h),-0.4180809441325899,0.4180809441325899,-0.21225490815199252,0.21225490815199252,116979
tratadores_e_intercambiadores_de_butano | FI-1223,45,225min (3.75h),-0.4162198987240303,0.4162198987240303,-0.1693654503027695,0.1693654503027695,119239
horno | FIC-1500A,120,600min (10.00h),-0.413746618541904,0.413746618541904,-0.1489661530358249,0.1489661530358249,118053
regenerador_de_acido | TI-2704,552,2760min (46.00h),-0.41252252984359955,0.41252252984359955,0.006380579846393248,0.006380579846393248,117485
horno | FI-1499B,120,600min (10.00h),-0.4102750806619029,0.4102750806619029,-0.17566272752486453,0.17566272752486453,117180
isostripper | TI-1497,120,600min (10.00h),-0.40923321132484036,0.40923321132484036,-0.20629467086787912,0.20629467086787912,118045
horno | TI-1511,120,600min (10.00h),-0.40898546757278564,0.40898546757278564,-0.1812064249090944,0.1812064249090944,116763
horno | FIC-1666,60,300min (5.00h),-0.40894055831977577,0.40894055831977577,-0.2361110800745295,0.2361110800745295,95527
lab_carga_D03_a_E28 | FIC-1059C-OLEFINAS-1,54,270min (4.50h),-0.40887181464793604,0.40887181464793604,-0.3713980130707646,0.3713980130707646,55123
horno | FI-1666A,60,300min (5.00h),-0.40843528628403936,0.40843528628403936,-0.23358710224800194,0.23358710224800194,95609
tratadores_e_intercambiadores_de_propano | FIC-2415,108,540min (9.00h),-0.40788177083056626,0.40788177083056626,0.05071323522448377,0.05071323522448377,118530
horno | TI-1515A-T-CONTROL-H-01,120,600min (10.00h),-0.4069876567673595,0.4069876567673595,-0.13613586144802128,0.13613586144802128,116626
horno | TI-1515B-T-CONTROL-H-01,120,600min (10.00h),-0.4062330305092955,0.4062330305092955,-0.1317310257589188,0.1317310257589188,115725
lab_isobutano_reciclo | FIC-1059C Olefinas 1,54,270min (4.50h),-0.4043548717091234,0.4043548717091234,-0.3630919848731997,0.3630919848731997,55642
tratadores_e_intercambiadores_de_butano | TIC-1309,72,360min (6.00h),-0.4019836057078059,0.4019836057078059,-0.1601627977160988,0.1601627977160988,102795
isostripper | TI-1108,120,600min (10.00h),-0.40185409236380204,0.40185409236380204,-0.12933663903575426,0.12933663903575426,117935
horno | FI-1500B,120,600min (10.00h),-0.4012555104625196,0.4012555104625196,-0.14888405082856676,0.14888405082856676,117155
despropanizadora_y_despojo | TI-2320,132,660min (11.00h),-0.3999632334678335,0.3999632334678335,-0.13215601889173975,0.13215601889173975,115039
debutanizadora_y_tratamiento_de_alquilato | TI-2106,120,600min (10.00h),-0.3999217104698381,0.3999217104698381,-0.20479105473859413,0.20479105473859413,116172
lab_isobutano_fresco_a_D02 | FLUJO ISOBUTANO FRESCO,63,315min (5.25h),-0.39947501732908763,0.39947501732908763,-0.35792352070077266,0.35792352070077266,56785
horno | FI-1903A-F-2-OLEFINAS,69,345min (5.75h),-0.39889249542774485,0.39889249542774485,-0.3303478085612534,0.3303478085612534,117131
horno | FI-1059B-F-1-OLEFINAS,60,300min (5.00h),-0.396893823593066,0.396893823593066,-0.2916124919044037,0.2916124919044037,118055
psh | LIC-4069,240,1200min (20.00h),-0.3932675592466324,0.3932675592466324,-0.12005669008414867,0.12005669008414867,117335
