feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples,mutual_information,transfer_entropy,importance_mean,pearson_score,spearman_score,mi_score,te_score,rf_score,consensus_score
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),-0.8074152799558487,0.8074152799558487,-0.8533409256876053,0.8533409256876053,119333,1.8077539144550263,0.22448022771814471,1.4763528666515788,1.0,1.0,1.0,0.9091288594622625,1.0,0.9863693289193395
despropanizadora_y_despojo | PI-2322B,84,420min (7.00h),0.3542253391143463,0.3542253391143463,0.2423125374725702,0.2423125374725702,101055,,,,0.4333957195714238,0.2836342951521644,0.0,0.0,0.01313468536828809,0.15417774550775262
tratadores_e_intercambiadores_de_butano | TI-1306,33,165min (2.75h),0.3583932259941611,0.3583932259941611,0.2158542840043254,0.2158542840043254,117251,,,,0.43860665285485056,0.25261481101626265,0.0,0.0,0.01313468536828809,0.15082755620822408
tratadores_e_intercambiadores_de_butano | TI-1305,27,135min (2.25h),0.3434901199730826,0.3434901199730826,0.23779416867344838,0.23779416867344838,118337,,,,0.4199739275839752,0.2783369889844413,0.0,0.0,0.01313468536828809,0.15002770158573203
isostripper | LIC-1094,0,0min (0.00h),0.44873823010897695,0.44873823010897695,-0.04587153008094017,0.04587153008094017,113067,,,,0.5515612033281917,0.053328136820941285,0.0,0.0,0.01313468536828809,0.14917319269726115
tratadores_e_intercambiadores_de_butano | LIC-2482,54,270min (4.50h),0.4025573086307538,0.4025573086307538,0.12764396072666886,0.12764396072666886,107803,,,,0.4938231437959998,0.14919760221152945,0.0,0.0,0.01313468536828809,0.1491190976228014
despropanizadora_y_despojo | FI-1485,39,195min (3.25h),0.33589692380815456,0.33589692380815456,0.24411354069624774,0.24411354069624774,113931,,,,0.4104804744830672,0.2857457796079552,0.0,0.0,0.01313468536828809,0.1487656569040321
isostripper | TIC-1091,30,150min (2.50h),0.3683846454909318,0.3683846454909318,0.1780027259763121,0.1780027259763121,110930,,,,0.4510985034990107,0.20823789077931956,0.0,0.0,0.01313468536828809,0.14729398083372264
isostripper | FIC-2318,96,480min (8.00h),0.3081878805818608,0.3081878805818608,0.2839936355925228,0.2839936355925228,106389,,,,0.37583702571311894,0.3325009432644671,0.0,0.0,0.01313468536828809,0.14711806926002183
despropanizadora_y_despojo | FIC-2318,96,480min (8.00h),0.3081654352363328,0.3081654352363328,0.28396816928276963,0.28396816928276963,106388,,,,0.3758089632437087,0.3324710867286857,0.0,0.0,0.01313468536828809,0.14710657516230205
despropanizadora_y_despojo | LIC-1152,552,2760min (46.00h),0.38943459265907066,0.38943459265907066,0.13847203567741115,0.13847203567741115,116481,,,,0.4774163651578911,0.16189236679831634,0.0,0.0,0.01313468536828809,0.14692161765129225
