feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),-0.8074152799558487,0.8074152799558487,-0.8533409256876053,0.8533409256876053,119333
psh | PI-4041B,108,540min (9.00h),0.5151000859405798,0.5151000859405798,0.1275270680526328,0.1275270680526328,117618
tratadores_e_intercambiadores_de_butano | TI-1962,21,105min (1.75h),0.5150088002455625,0.5150088002455625,0.5866279962554782,0.5866279962554782,118212
reactor_de_alquilacion | FIC-1900,108,540min (9.00h),0.5142163188593699,0.5142163188593699,0.21518066581644488,0.21518066581644488,117870
tratadores_e_intercambiadores_de_butano | PI-1219,54,270min (4.50h),0.5128744888690724,0.5128744888690724,0.24752097477779417,0.24752097477779417,119394
horno | FIC-1502A,96,480min (8.00h),0.5123472673087603,0.5123472673087603,0.21111324990120384,0.21111324990120384,118205
isostripper | TI-1087,27,135min (2.25h),0.5117420471715382,0.5117420471715382,0.256151137364425,0.256151137364425,119353
horno | TI-1514,96,480min (8.00h),0.5095274279007215,0.5095274279007215,0.2684731983966745,0.2684731983966745,94338
psh | PIC-4051B,120,600min (10.00h),0.5088546079153157,0.5088546079153157,0.16144336782090446,0.16144336782090446,117613
regenerador_de_acido | FIC-2336,84,420min (7.00h),0.5087915791673051,0.5087915791673051,0.29389129034466327,0.29389129034466327,119227
isostripper | PI-1092B,96,480min (8.00h),0.5081759217043105,0.5081759217043105,-0.0620685545522515,0.0620685545522515,119293
regenerador_de_acido | TI-1179,21,105min (1.75h),0.5065595634434537,0.5065595634434537,0.0688260339622132,0.0688260339622132,117458
psh | FIC-4061,69,345min (5.75h),0.5065196228870283,0.5065196228870283,0.37149984462673713,0.37149984462673713,117593
horno | FIC-1900-F-2-ISOBUTANO-RECICLO,120,600min (10.00h),0.5034504696002566,0.5034504696002566,0.20866261891149793,0.20866261891149793,116781
tratadores_e_intercambiadores_de_butano | TI-1977,4,20min (0.33h),0.5024752107978263,0.5024752107978263,0.29802024089042806,0.29802024089042806,118264
despropanizadora_y_despojo | TI-2320,60,300min (5.00h),0.49962237143360005,0.49962237143360005,0.13631613998526,0.13631613998526,115311
tratadores_e_intercambiadores_de_butano | TI-1964,69,345min (5.75h),0.49223047654710733,0.49223047654710733,0.17841108977263212,0.17841108977263212,118117
reactor_de_alquilacion | FI-1903A,69,345min (5.75h),0.49128850106506994,0.49128850106506994,0.3824963518856937,0.3824963518856937,118429
despropanizadora_y_despojo | TI-2340,0,0min (0.00h),0.49052127612695,0.49052127612695,0.2950677283748745,0.2950677283748745,119639
debutanizadora_y_tratamiento_de_alquilato | TI-1228,42,210min (3.50h),0.4900021110160068,0.4900021110160068,0.3340023485106662,0.3340023485106662,116754
despropanizadora_y_despojo | PIC-2350,84,420min (7.00h),0.4858927893625886,0.4858927893625886,0.3249466594181131,0.3249466594181131,117090
tratadores_e_intercambiadores_de_butano | TI-1976,27,135min (2.25h),0.48582192403958385,0.48582192403958385,0.38402366733512805,0.38402366733512805,119249
regenerador_de_acido | TIC-1168,0,0min (0.00h),0.4853442406462802,0.4853442406462802,0.159044625735245,0.159044625735245,119396
reactor_de_alquilacion | TI-1358,72,360min (6.00h),0.4836763139334934,0.4836763139334934,0.2618554977295284,0.2618554977295284,118277
debutanizadora_y_tratamiento_de_alquilato | LIC-2107,0,0min (0.00h),0.4822271367761576,0.4822271367761576,0.08431178220492207,0.08431178220492207,116011
debutanizadora_y_tratamiento_de_alquilato | PI-2110A,72,360min (6.00h),0.4820717776154211,0.4820717776154211,0.07583241043813392,0.07583241043813392,114147
tratadores_e_intercambiadores_de_butano | PIC-1218,0,0min (0.00h),0.4812787234052257,0.4812787234052257,0.4662452922418912,0.4662452922418912,12129
horno | TI-2582,96,480min (8.00h),0.479672195511055,0.479672195511055,0.2074536611714311,0.2074536611714311,116110
tratadores_e_intercambiadores_de_butano | TI-1978,42,210min (3.50h),0.4787014808802878,0.4787014808802878,0.29243173841571773,0.29243173841571773,118337
horno | FI-1903A-F-2-OLEFINAS,69,345min (5.75h),0.4785990816458588,0.4785990816458588,0.3731874178889238,0.3731874178889238,117312
tratadores_e_intercambiadores_de_butano | FIC-1982,51,255min (4.25h),0.4783939008974926,0.4783939008974926,0.2857869217490657,0.2857869217490657,111577
isostripper | PI-1092A,96,480min (8.00h),0.477650129626186,0.477650129626186,-0.11484171840982883,0.11484171840982883,118968
reactor_de_alquilacion | FI-1059B,57,285min (4.75h),0.47759940948478313,0.47759940948478313,0.34114540602370225,0.34114540602370225,119366
horno | TI-2581,96,480min (8.00h),0.47556577714914383,0.47556577714914383,0.2804355403874629,0.2804355403874629,117038
tratadores_e_intercambiadores_de_butano | PI-1984,84,420min (7.00h),0.4747685116477683,0.4747685116477683,0.2845485416077425,0.2845485416077425,119379
tratadores_e_intercambiadores_de_butano | TI-1975,0,0min (0.00h),0.4733843940345768,0.4733843940345768,0.38696602910349837,0.38696602910349837,118354
horno | FIC-1501A,96,480min (8.00h),0.4696414463391134,0.4696414463391134,0.1891938303830215,0.1891938303830215,117928
horno | FI-1059B-F-1-OLEFINAS,57,285min (4.75h),0.4664136104331367,0.4664136104331367,0.3319307102753497,0.3319307102753497,118237
regenerador_de_acido | FIC-1180,84,420min (7.00h),0.46594205574036823,0.46594205574036823,0.21987317166448314,0.21987317166448314,119255
despropanizadora_y_despojo | FI-1148,0,0min (0.00h),0.46415956696262084,0.46415956696262084,0.26958755368903287,0.26958755368903287,57852
isostripper | TI-1097,1,5min (0.08h),0.4565819826736637,0.4565819826736637,-0.0905174224424049,0.0905174224424049,119516
regenerador_de_acido | TI-2704,552,2760min (46.00h),0.45611299839315605,0.45611299839315605,0.08171678204401722,0.08171678204401722,117666
reactor_de_alquilacion | FIC-1933,84,420min (7.00h),0.45444130594820464,0.45444130594820464,0.20353234066365503,0.20353234066365503,116485
horno | TI-2584,96,480min (8.00h),0.4513269139730871,0.4513269139730871,0.2267845888231622,0.2267845888231622,117064
isostripper | LIC-1094,0,0min (0.00h),0.44873823010897695,0.44873823010897695,-0.04587153008094017,0.04587153008094017,113067
debutanizadora_y_tratamiento_de_alquilato | TI-2125,72,360min (6.00h),0.44387950541347704,0.44387950541347704,0.17011701577422358,0.17011701577422358,116342
debutanizadora_y_tratamiento_de_alquilato | TI-2125.1,72,360min (6.00h),0.44387950541347704,0.44387950541347704,0.17011701577422358,0.17011701577422358,116342
reactor_de_alquilacion | LI-1072,66,330min (5.50h),0.44087632545358313,0.44087632545358313,0.02157697481432984,0.02157697481432984,118286
tratadores_e_intercambiadores_de_butano | TIC-1309,69,345min (5.75h),0.43972817039094075,0.43972817039094075,0.15790935875595,0.15790935875595,102978
horno | TI-2587A,84,420min (7.00h),0.43858844594351654,0.43858844594351654,0.24090602571365008,0.24090602571365008,117091
isostripper | TI-1109,48,240min (4.00h),0.4344714141404666,0.4344714141404666,0.22007689495160757,0.22007689495160757,119172
